id;nom_etab;type_etab;email;telephone
1;support purple neural;CentreFP;Ansbert49@gmail.com;0559684053
2;portal;LyceeTech;Paterne84@gmail.com;+33 677908563
3;relationships;CentreFP;Clarisse.Fontaine67@gmail.com;+33 145443275
4;la bus purple;CentreFP;Reybaud8@yahoo.fr;0301655119
5;Singapour Computers;CentreFP;Lonard84@gmail.com;+33 428628351
6;protocol sensor;LyceeTech;Honorine_Renard89@hotmail.fr;+33 360104215
7;Administrateur XML;LyceeTech;Andoche32@yahoo.fr;0505130039
8;Plastic Triple-buffered;CentreFP;Sraphin.Noel98@yahoo.fr;0332246041
9;Palladium demand-driven;LyceeTech;Anthelmette_Mathieu@gmail.com;+33 777160897
10;clear-thinking b;LyceeTech;Adrehilde.Henry@gmail.com;0599043836
